Image File,Caption,Tokenized Caption,Encoded Tokens
img/insta18288,<start> oh good morning! here's my new cover! shot by my loves   <end>,"['<start>', 'oh', 'good', 'morning', '!', 'here', ""'s"", 'my', 'new', 'cover', '!', 'shot', 'by', 'my', 'loves', '<end>']","[2, 87, 33, 55, 133, 100, 437, 4, 23, 111, 133, 176, 28, 4, 232, 3]"
img/insta18291,<start> fierceness  <end>,"['<start>', 'fierceness', '<end>']","[2, 8368, 3]"
img/insta18292,<start> thanks Derek   <end>,"['<start>', 'thanks', 'derek', '<end>']","[2, 68, 4253, 3]"
img/insta18294,<start> post Givenchy  <end>,"['<start>', 'post', 'givenchy', '<end>']","[2, 337, 422, 3]"
img/insta18297,<start> idiots at the Open   <end>,"['<start>', 'idiots', 'at', 'the', 'open', '<end>']","[2, 8369, 22, 5, 2007, 3]"
img/insta18298,<start> YO. GOALS.  <end>,"['<start>', 'yo', '.', 'goals', '.', '<end>']","[2, 470, 1, 880, 1, 3]"
img/insta18302,<start> see-through city  <end>,"['<start>', 'see-through', 'city', '<end>']","[2, 8370, 223, 3]"
img/insta18304,<start> missing these snuggles  <end>,"['<start>', 'missing', 'these', 'snuggles', '<end>']","[2, 233, 75, 2307, 3]"
img/insta18306,<start> hide and seek  <end>,"['<start>', 'hide', 'and', 'seek', '<end>']","[2, 1244, 12, 1929, 3]"
img/insta18307,<start> me's  <end>,"['<start>', 'me', ""'s"", '<end>']","[2, 14, 437, 3]"
img/insta18310,<start> last night   <end>,"['<start>', 'last', 'night', '<end>']","[2, 60, 26, 3]"
img/insta18311,<start> ahoy  <end>,"['<start>', 'ahoy', '<end>']","[2, 4533, 3]"
img/insta18312,<start> g-night  <end>,"['<start>', 'g-night', '<end>']","[2, 8372, 3]"
img/insta18313,<start> baeeeewatch  <end>,"['<start>', 'baeeeewatch', '<end>']","[2, 8373, 3]"
img/insta18314,<start> photo booth  <end>,"['<start>', 'photo', 'booth', '<end>']","[2, 108, 1921, 3]"
img/insta18319,<start> BRAD  <end>,"['<start>', 'brad', '<end>']","[2, 8374, 3]"
img/insta18322,<start> currently.  <end>,"['<start>', 'currently', '.', '<end>']","[2, 1234, 1, 3]"
img/insta18323,<start> I BE IN THE KITCHEN COOKIN' PIES  <end>,"['<start>', 'i', 'be', 'in', 'the', 'kitchen', 'cookin', ""'"", 'pies', '<end>']","[2, 6, 41, 10, 5, 2493, 8994, 5223, 8375, 3]"
img/insta18326,<start> with passion  <end>,"['<start>', 'with', 'passion', '<end>']","[2, 13, 2336, 3]"
img/insta18327,<start> Yogi goals  <end>,"['<start>', 'yogi', 'goals', '<end>']","[2, 8376, 880, 3]"
img/insta18328,<start> when you start realizin shit.  Norman is me  <end>,"['<start>', 'when', 'you', 'start', 'realizin', 'shit', '.', 'norman', 'is', 'me', '<end>']","[2, 57, 7, 763, 8377, 282, 1, 1085, 18, 14, 3]"
img/insta18330,<start> cola  <end>,"['<start>', 'cola', '<end>']","[2, 3889, 3]"
img/insta18332,<start> adventures of wigi and wenny  <end>,"['<start>', 'adventures', 'of', 'wigi', 'and', 'wenny', '<end>']","[2, 545, 19, 8378, 12, 8379, 3]"
img/insta18334,<start> still w/  <end>,"['<start>', 'still', 'w/', '<end>']","[2, 173, 616, 3]"
img/insta18335,<start> w/  <end>,"['<start>', 'w/', '<end>']","[2, 616, 3]"
img/insta18337,<start> rainy day  <end>,"['<start>', 'rainy', 'day', '<end>']","[2, 1362, 36, 3]"
img/insta18340,<start> fam blacked out  <end>,"['<start>', 'fam', 'blacked', 'out', '<end>']","[2, 268, 8380, 30, 3]"
img/insta18342,<start> new shot by Karl Lagerfeld....NO BIG DEAL   <end>,"['<start>', 'new', 'shot', 'by', 'karl', 'lagerfeld', '....', 'no', 'big', 'deal', '<end>']","[2, 23, 176, 28, 1446, 4416, 1, 74, 105, 1685, 3]"
img/insta18344,"<start> babe, you're blue  <end>","['<start>', 'babe', ',', 'you', ""'re"", 'blue', '<end>']","[2, 513, 1, 7, 1, 193, 3]"
img/insta18345,<start> new for underwear  <end>,"['<start>', 'new', 'for', 'underwear', '<end>']","[2, 23, 15, 2525, 3]"
img/insta18346,<start> little tease at the new underwear   <end>,"['<start>', 'little', 'tease', 'at', 'the', 'new', 'underwear', '<end>']","[2, 44, 8381, 22, 5, 23, 2525, 3]"
img/insta18347,<start> of course I said yes   <end>,"['<start>', 'of', 'course', 'i', 'said', 'yes', '<end>']","[2, 19, 1439, 6, 327, 263, 3]"
img/insta18349,<start> tonight show backstage  <end>,"['<start>', 'tonight', 'show', 'backstage', '<end>']","[2, 66, 104, 441, 3]"
img/insta18350,<start> land of the free   <end>,"['<start>', 'land', 'of', 'the', 'free', '<end>']","[2, 1006, 19, 5, 1016, 3]"
img/insta18351,<start> coffee?  <end>,"['<start>', 'coffee', '?', '<end>']","[2, 696, 412, 3]"
img/insta18352,<start> Warhol  <end>,"['<start>', 'warhol', '<end>']","[2, 8383, 3]"
img/insta18354,<start> table for two   <end>,"['<start>', 'table', 'for', 'two', '<end>']","[2, 1466, 15, 218, 3]"
img/insta18355,<start> check out my mini  <end>,"['<start>', 'check', 'out', 'my', 'mini', '<end>']","[2, 444, 30, 4, 665, 3]"
img/insta18356,<start> cuuuute  <end>,"['<start>', 'cuuuute', '<end>']","[2, 8384, 3]"
img/insta18357,<start> still can't hear  <end>,"['<start>', 'still', 'ca', ""n't"", 'hear', '<end>']","[2, 173, 2123, 1, 1930, 3]"
img/insta18358,<start> G-spot doesn't play by the rules  <end>,"['<start>', 'g-spot', 'does', ""n't"", 'play', 'by', 'the', 'rules', '<end>']","[2, 8385, 457, 1, 340, 28, 5, 8386, 3]"
img/insta18360,<start> x xxxx xxx  <end>,"['<start>', 'x', 'xxxx', 'xxx', '<end>']","[2, 48, 3623, 8387, 3]"
img/insta18361,<start> FASHION GANG FASHION FAM...cover of Vogue Japan  <end>,"['<start>', 'fashion', 'gang', 'fashion', 'fam', '...', 'cover', 'of', 'vogue', 'japan', '<end>']","[2, 238, 623, 238, 268, 1, 111, 19, 285, 372, 3]"
img/insta18365,<start> late night. too cool.  <end>,"['<start>', 'late', 'night', '.', 'too', 'cool', '.', '<end>']","[2, 335, 26, 1, 97, 198, 1, 3]"
img/insta18366,<start> city bike  <end>,"['<start>', 'city', 'bike', '<end>']","[2, 223, 3140, 3]"
img/insta18367,<start> byeee  <end>,"['<start>', 'byeee', '<end>']","[2, 8388, 3]"
img/insta18368,<start> carpet cartwheels!  <end>,"['<start>', 'carpet', 'cartwheels', '!', '<end>']","[2, 1200, 1, 133, 3]"
img/insta18369,<start> Hong Kong with  <end>,"['<start>', 'hong', 'kong', 'with', '<end>']","[2, 2328, 1191, 13, 3]"
img/insta18371,<start> landed  <end>,"['<start>', 'landed', '<end>']","[2, 1206, 3]"
img/insta18372,<start> magical morning  <end>,"['<start>', 'magical', 'morning', '<end>']","[2, 1039, 55, 3]"
img/insta18373,<start> I only FaceTime foods  <end>,"['<start>', 'i', 'only', 'facetime', 'foods', '<end>']","[2, 6, 164, 1814, 4535, 3]"
img/insta18374,<start> stolen.   <end>,"['<start>', 'stolen', '.', '<end>']","[2, 2940, 1, 3]"
img/insta18375,<start> mini world tour  <end>,"['<start>', 'mini', 'world', 'tour', '<end>']","[2, 665, 188, 95, 3]"
img/insta18377,<start> rough morning?  <end>,"['<start>', 'rough', 'morning', '?', '<end>']","[2, 2526, 55, 412, 3]"
img/insta18378,<start> I'm North today.  <end>,"['<start>', 'i', ""'m"", 'north', 'today', '.', '<end>']","[2, 6, 1, 418, 704, 1, 3]"
img/insta18380,<start> I'm losing it  <end>,"['<start>', 'i', ""'m"", 'losing', 'it', '<end>']","[2, 6, 1, 4537, 20, 3]"
img/insta18381,<start> we out here  <end>,"['<start>', 'we', 'out', 'here', '<end>']","[2, 34, 30, 100, 3]"
img/insta18382,<start> New China Vogue cover with shot by   <end>,"['<start>', 'new', 'china', 'vogue', 'cover', 'with', 'shot', 'by', '<end>']","[2, 23, 2329, 285, 111, 13, 176, 28, 3]"
img/insta18384,<start> strawberry swing  <end>,"['<start>', 'strawberry', 'swing', '<end>']","[2, 2509, 4538, 3]"
img/insta18386,<start> hey driver...  <end>,"['<start>', 'hey', 'driver', '...', '<end>']","[2, 185, 1987, 1, 3]"
img/insta18394,<start> Alaia is even better in the wind  <end>,"['<start>', 'alaia', 'is', 'even', 'better', 'in', 'the', 'wind', '<end>']","[2, 1931, 18, 245, 203, 10, 5, 1224, 3]"
img/insta18395,<start> Princess K (that's the boats name) (really)  <end>,"['<start>', 'princess', 'k', '(', 'that', ""'s"", 'the', 'boats', 'name', ')', '(', 'really', ')', '<end>']","[2, 343, 420, 615, 61, 437, 5, 8391, 609, 530, 615, 283, 530, 3]"
img/insta18396,<start> I had fun  <end>,"['<start>', 'i', 'had', 'fun', '<end>']","[2, 6, 137, 89, 3]"
img/insta18397,<start> CaKe in Cannes! I missed you  <end>,"['<start>', 'cake', 'in', 'cannes', '!', 'i', 'missed', 'you', '<end>']","[2, 414, 10, 691, 133, 6, 278, 7, 3]"
img/insta18398,<start> always  <end>,"['<start>', 'always', '<end>']","[2, 69, 3]"
img/insta18402,<start> my favorite human  <end>,"['<start>', 'my', 'favorite', 'human', '<end>']","[2, 4, 126, 1979, 3]"
img/insta18404,<start> cuz she's a cool mom  <end>,"['<start>', 'cuz', 'she', ""'s"", 'a', 'cool', 'mom', '<end>']","[2, 700, 78, 437, 8, 198, 151, 3]"
img/insta18405,<start>  happy Mother's Day mom! I love you to death  <end>,"['<start>', 'happy', 'mother', ""'s"", 'day', 'mom', '!', 'i', 'love', 'you', 'to', 'death', '<end>']","[2, 21, 672, 437, 36, 151, 133, 6, 11, 7, 9, 1583, 3]"
img/insta18406,<start> you're welcome...  <end>,"['<start>', 'you', ""'re"", 'welcome', '...', '<end>']","[2, 7, 1, 428, 1, 3]"
img/insta18407,<start> you're the worst  <end>,"['<start>', 'you', ""'re"", 'the', 'worst', '<end>']","[2, 7, 1, 5, 1568, 3]"
img/insta18408,<start> everything goals  <end>,"['<start>', 'everything', 'goals', '<end>']","[2, 253, 880, 3]"
img/insta18410,<start> thank you for last night  <end>,"['<start>', 'thank', 'you', 'for', 'last', 'night', '<end>']","[2, 27, 7, 15, 60, 26, 3]"
img/insta18411,<start> last night with a purple unicorn and a booty  <end>,"['<start>', 'last', 'night', 'with', 'a', 'purple', 'unicorn', 'and', 'a', 'booty', '<end>']","[2, 60, 26, 13, 8, 1371, 1061, 12, 8, 971, 3]"
img/insta18412,<start> bathroom selfie?  <end>,"['<start>', 'bathroom', 'selfie', '?', '<end>']","[2, 584, 145, 412, 3]"
img/insta18413,<start> what drone?   <end>,"['<start>', 'what', 'drone', '?', '<end>']","[2, 46, 1, 412, 3]"
img/insta18415,<start> bday babe   <end>,"['<start>', 'bday', 'babe', '<end>']","[2, 324, 513, 3]"
img/insta18417,<start> I wrote this in 5th grade... nothing has changed.   <end>,"['<start>', 'i', 'wrote', 'this', 'in', '5th', 'grade', '...', 'nothing', 'has', 'changed', '.', '<end>']","[2, 6, 8395, 16, 10, 4540, 1329, 1, 315, 226, 1514, 1, 3]"
img/insta18419,<start> ouch boo boo kitty  <end>,"['<start>', 'ouch', 'boo', 'boo', 'kitty', '<end>']","[2, 8396, 222, 222, 987, 3]"
img/insta18420,<start> soho  <end>,"['<start>', 'soho', '<end>']","[2, 3226, 3]"
img/insta18421,<start> chella...   <end>,"['<start>', 'chella', '...', '<end>']","[2, 2882, 1, 3]"
img/insta18422,<start> gorg is wild  <end>,"['<start>', 'gorg', 'is', 'wild', '<end>']","[2, 4000, 18, 582, 3]"
img/insta18423,<start> being unicorns on set  <end>,"['<start>', 'being', 'unicorns', 'on', 'set', '<end>']","[2, 344, 3247, 17, 204, 3]"
img/insta18424,<start> and another from my cover story  <end>,"['<start>', 'and', 'another', 'from', 'my', 'cover', 'story', '<end>']","[2, 12, 254, 52, 4, 111, 519, 3]"
img/insta18425,<start> inside  <end>,"['<start>', 'inside', '<end>']","[2, 485, 3]"
img/insta18428,<start> baby Jo  <end>,"['<start>', 'baby', 'jo', '<end>']","[2, 38, 1227, 3]"
img/insta18431,<start> calm before the storm  <end>,"['<start>', 'calm', 'before', 'the', 'storm', '<end>']","[2, 738, 214, 5, 1396, 3]"
img/insta18432,<start> vibes right now   <end>,"['<start>', 'vibes', 'right', 'now', '<end>']","[2, 163, 119, 45, 3]"
img/insta18434,<start> cover of Harpers Bazaar shot by  <end>,"['<start>', 'cover', 'of', 'harpers', 'bazaar', 'shot', 'by', '<end>']","[2, 111, 19, 2523, 1435, 176, 28, 3]"
img/insta18435,<start> boys  <end>,"['<start>', 'boys', '<end>']","[2, 118, 3]"
img/insta18436,<start> woke up like  Hoppy Easter!  <end>,"['<start>', 'woke', 'up', 'like', 'hoppy', 'easter', '!', '<end>']","[2, 650, 29, 37, 8397, 375, 133, 3]"
img/insta18437,<start> wrapped   <end>,"['<start>', 'wrapped', '<end>']","[2, 2675, 3]"
img/insta18438,<start> me + these pretty ladies  <end>,"['<start>', 'me', '+', 'these', 'pretty', 'ladies', '<end>']","[2, 14, 318, 75, 194, 386, 3]"
img/insta18439,<start> found this last night. thought of you.  <end>,"['<start>', 'found', 'this', 'last', 'night', '.', 'thought', 'of', 'you', '.', '<end>']","[2, 217, 16, 60, 26, 1, 531, 19, 7, 1, 3]"
img/insta18440,<start> baby's!   <end>,"['<start>', 'baby', ""'s"", '!', '<end>']","[2, 38, 437, 133, 3]"
img/insta18441,<start> driving through NYC like...  <end>,"['<start>', 'driving', 'through', 'nyc', 'like', '...', '<end>']","[2, 1688, 481, 162, 37, 1, 3]"
img/insta18442,<start> this is happening  <end>,"['<start>', 'this', 'is', 'happening', '<end>']","[2, 16, 18, 1404, 3]"
img/insta18445,<start> Just me in Proud to be the face of the new Denim Series!  <end>,"['<start>', 'just', 'me', 'in', 'proud', 'to', 'be', 'the', 'face', 'of', 'the', 'new', 'denim', 'series', '!', '<end>']","[2, 31, 14, 10, 290, 9, 41, 5, 121, 19, 5, 23, 986, 3479, 133, 3]"
img/insta18446,<start> find me.  <end>,"['<start>', 'find', 'me', '.', '<end>']","[2, 391, 14, 1, 3]"
img/insta18447,<start> last one! April Vogue spread  <end>,"['<start>', 'last', 'one', '!', 'april', 'vogue', 'spread', '<end>']","[2, 60, 56, 133, 4343, 285, 2510, 3]"
img/insta18452,<start> Dream team  <end>,"['<start>', 'dream', 'team', '<end>']","[2, 317, 180, 3]"
img/insta18453,<start> miss you moi!  <end>,"['<start>', 'miss', 'you', 'moi', '!', '<end>']","[2, 58, 7, 1867, 133, 3]"
img/insta18456,<start> typical  <end>,"['<start>', 'typical', '<end>']","[2, 2356, 3]"
img/insta18457,<start> home   <end>,"['<start>', 'home', '<end>']","[2, 80, 3]"
img/insta18458,<start> thanks for hooking me up &   <end>,"['<start>', 'thanks', 'for', 'hooking', 'me', 'up', '&', '<end>']","[2, 68, 15, 2926, 14, 29, 25, 3]"
img/insta18459,<start> girls night   <end>,"['<start>', 'girls', 'night', '<end>']","[2, 103, 26, 3]"
img/insta18460,<start> missing the fam  <end>,"['<start>', 'missing', 'the', 'fam', '<end>']","[2, 233, 5, 268, 3]"
img/insta18461,<start> I knew we were sisters  <end>,"['<start>', 'i', 'knew', 'we', 'were', 'sisters', '<end>']","[2, 6, 924, 34, 179, 183, 3]"
img/insta18466,<start> I feeeelllll you.  <end>,"['<start>', 'i', 'feeeelllll', 'you', '.', '<end>']","[2, 6, 8401, 7, 1, 3]"
img/insta18467,<start> TAKE ME BACK  <end>,"['<start>', 'take', 'me', 'back', '<end>']","[2, 159, 14, 51, 3]"
img/insta18469,<start> London  <end>,"['<start>', 'london', '<end>']","[2, 186, 3]"
img/insta18470,<start> books n learning  <end>,"['<start>', 'books', 'n', 'learning', '<end>']","[2, 2420, 292, 3227, 3]"
img/insta18473,<start> backstage   <end>,"['<start>', 'backstage', '<end>']","[2, 441, 3]"
img/insta18476,<start> COLD?!  <end>,"['<start>', 'cold', '?', '!', '<end>']","[2, 647, 412, 133, 3]"
img/insta18478,<start> Ye.  <end>,"['<start>', 'ye', '.', '<end>']","[2, 2405, 1, 3]"
img/insta18479,<start> me and my lil monkey inside my cover shoot. shot by  <end>,"['<start>', 'me', 'and', 'my', 'lil', 'monkey', 'inside', 'my', 'cover', 'shoot', '.', 'shot', 'by', '<end>']","[2, 14, 12, 4, 125, 2500, 485, 4, 111, 141, 1, 176, 28, 3]"
img/insta18480,<start> Diamonds Are Forever  <end>,"['<start>', 'diamonds', 'are', 'forever', '<end>']","[2, 490, 43, 167, 3]"
img/insta18481,<start> Céline so mean  <end>,"['<start>', 'céline', 'so', 'mean', '<end>']","[2, 1231, 24, 331, 3]"
img/insta18482,<start> we're eating raw oatmeal.  <end>,"['<start>', 'we', ""'re"", 'eating', 'raw', 'oatmeal', '.', '<end>']","[2, 34, 1, 891, 4541, 8403, 1, 3]"
img/insta18483,<start> too many  <end>,"['<start>', 'too', 'many', '<end>']","[2, 97, 440, 3]"
img/insta18485,<start> ᏞᎾᏉᎬ.  <end>,"['<start>', 'ꮮꮎꮙꭼ', '.', '<end>']","[2, 8404, 1, 3]"
img/insta18486,<start> my cover!  <end>,"['<start>', 'my', 'cover', '!', '<end>']","[2, 4, 111, 133, 3]"
img/insta18488,<start> LOVE cover!  <end>,"['<start>', 'love', 'cover', '!', '<end>']","[2, 11, 111, 133, 3]"
img/insta18493,<start> CHANEL  <end>,"['<start>', 'chanel', '<end>']","[2, 649, 3]"
img/insta18494,<start> out  <end>,"['<start>', 'out', '<end>']","[2, 30, 3]"
img/insta18495,<start> chilly night on the Ferris wheel  <end>,"['<start>', 'chilly', 'night', 'on', 'the', 'ferris', 'wheel', '<end>']","[2, 8405, 26, 17, 5, 3610, 2723, 3]"
img/insta18496,<start> Johnny&Winona   <end>,"['<start>', 'johnny', '&', 'winona', '<end>']","[2, 3976, 25, 1, 3]"
img/insta18497,<start> of course some shit go down when....  <end>,"['<start>', 'of', 'course', 'some', 'shit', 'go', 'down', 'when', '....', '<end>']","[2, 19, 1439, 98, 282, 62, 208, 57, 1, 3]"
img/insta18501,<start> no you're cool. named British GQs coolest woman?!  <end>,"['<start>', 'no', 'you', ""'re"", 'cool', '.', 'named', 'british', 'gqs', 'coolest', 'woman', '?', '!', '<end>']","[2, 74, 7, 1, 198, 1, 4542, 3080, 8407, 735, 638, 412, 133, 3]"
img/insta18502,<start> sister selfie  <end>,"['<start>', 'sister', 'selfie', '<end>']","[2, 124, 145, 3]"
img/insta18503,<start> in my own little galaxy  <end>,"['<start>', 'in', 'my', 'own', 'little', 'galaxy', '<end>']","[2, 10, 4, 376, 44, 4543, 3]"
img/insta18505,<start> on the bus. love these two.  <end>,"['<start>', 'on', 'the', 'bus', '.', 'love', 'these', 'two', '.', '<end>']","[2, 17, 5, 885, 1, 11, 75, 218, 1, 3]"
img/insta18507,<start> raining  <end>,"['<start>', 'raining', '<end>']","[2, 2508, 3]"
img/insta18508,<start> I love Winnie da Pooh  <end>,"['<start>', 'i', 'love', 'winnie', 'da', 'pooh', '<end>']","[2, 6, 11, 2682, 181, 8409, 3]"
img/insta18510,<start> rockin with the fam  <end>,"['<start>', 'rockin', 'with', 'the', 'fam', '<end>']","[2, 1205, 13, 5, 268, 3]"
img/insta18511,<start> we got you DJ  <end>,"['<start>', 'we', 'got', 'you', 'dj', '<end>']","[2, 34, 63, 7, 3197, 3]"
img/insta18512,<start> cuddle boy  <end>,"['<start>', 'cuddle', 'boy', '<end>']","[2, 751, 174, 3]"
img/insta18513,<start> Ski don't gooo!   <end>,"['<start>', 'ski', 'do', ""n't"", 'gooo', '!', '<end>']","[2, 3249, 65, 1, 1, 133, 3]"
img/insta18514,<start> weirdos  <end>,"['<start>', 'weirdos', '<end>']","[2, 4544, 3]"
img/insta18515,<start> come find me  <end>,"['<start>', 'come', 'find', 'me', '<end>']","[2, 172, 391, 14, 3]"
img/insta18516,<start> sandy Balmain  <end>,"['<start>', 'sandy', 'balmain', '<end>']","[2, 4289, 310, 3]"
img/insta18517,<start> happy new yearrrr!!!  <end>,"['<start>', 'happy', 'new', 'yearrrr', '!', '!', '!', '<end>']","[2, 21, 23, 1, 133, 133, 133, 3]"
img/insta18519,<start> incredible place  <end>,"['<start>', 'incredible', 'place', '<end>']","[2, 1049, 300, 3]"
img/insta18521,<start> I'm third wheeling HARD  <end>,"['<start>', 'i', ""'m"", 'third', 'wheeling', 'hard', '<end>']","[2, 6, 1, 2747, 8412, 294, 3]"
img/insta18522,<start> Joyce is life   <end>,"['<start>', 'joyce', 'is', 'life', '<end>']","[2, 8413, 18, 50, 3]"
img/insta18523,<start> Xmas morning watching The Grinch. YOU GUYS.  <end>,"['<start>', 'xmas', 'morning', 'watching', 'the', 'grinch', '.', 'you', 'guys', '.', '<end>']","[2, 1081, 55, 195, 5, 8414, 1, 7, 123, 1, 3]"
img/insta18524,<start> betta notttt  <end>,"['<start>', 'betta', 'notttt', '<end>']","[2, 2847, 8415, 3]"
img/insta18525,<start> caught him  <end>,"['<start>', 'caught', 'him', '<end>']","[2, 491, 256, 3]"
img/insta18526,<start> just killin it on the dance floor with the kids  <end>,"['<start>', 'just', 'killin', 'it', 'on', 'the', 'dance', 'floor', 'with', 'the', 'kids', '<end>']","[2, 31, 1357, 20, 17, 5, 353, 1402, 13, 5, 523, 3]"
img/insta18527,<start> hi Santa!  <end>,"['<start>', 'hi', 'santa', '!', '<end>']","[2, 102, 1764, 133, 3]"
img/insta18528,<start>  where's the mistletoe at doe?!?  <end>,"['<start>', 'where', ""'s"", 'the', 'mistletoe', 'at', 'doe', '?', '!', '?', '<end>']","[2, 175, 437, 5, 8416, 22, 1863, 412, 133, 412, 3]"
img/insta18529,<start> okkaaayyyyyyy!!   <end>,"['<start>', 'okkaaayyyyyyy', '!', '!', '<end>']","[2, 1, 133, 133, 3]"
img/insta18530,<start> skallywags  <end>,"['<start>', 'skallywags', '<end>']","[2, 8419, 3]"
img/insta18531,<start> game face  <end>,"['<start>', 'game', 'face', '<end>']","[2, 129, 121, 3]"
img/insta18532,<start> we don't fvck wit YOOUUU  <end>,"['<start>', 'we', 'do', ""n't"", 'fvck', 'wit', 'yoouuu', '<end>']","[2, 34, 65, 1, 8420, 451, 8421, 3]"
img/insta18533,<start> the gingerbread man has a sweet driveway  <end>,"['<start>', 'the', 'gingerbread', 'man', 'has', 'a', 'sweet', 'driveway', '<end>']","[2, 5, 4261, 131, 226, 8, 212, 3983, 3]"
img/insta18534,<start> I'm gunna swing  <end>,"['<start>', 'i', ""'m"", 'gunna', 'swing', '<end>']","[2, 6, 1, 3250, 4538, 3]"
img/insta18535,<start> already ready   <end>,"['<start>', 'already', 'ready', '<end>']","[2, 544, 96, 3]"
img/insta18537,<start> squady   <end>,"['<start>', 'squady', '<end>']","[2, 8422, 3]"
img/insta18538,<start> twinning and we didn't even have to try   <end>,"['<start>', 'twinning', 'and', 'we', 'did', ""n't"", 'even', 'have', 'to', 'try', '<end>']","[2, 734, 12, 34, 239, 1, 245, 82, 9, 678, 3]"
img/insta18539,<start> Love my bracelet! They just donated to great cause.  <end>,"['<start>', 'love', 'my', 'bracelet', '!', 'they', 'just', 'donated', 'to', 'great', 'cause', '.', '<end>']","[2, 11, 4, 4618, 133, 128, 31, 8424, 9, 99, 812, 1, 3]"
img/insta18542,<start> can not wait to go home to this.  <end>,"['<start>', 'can', 'not', 'wait', 'to', 'go', 'home', 'to', 'this', '.', '<end>']","[2, 101, 84, 243, 9, 62, 80, 9, 16, 1, 3]"
img/insta18544,<start> snowy night   <end>,"['<start>', 'snowy', 'night', '<end>']","[2, 4546, 26, 3]"
img/insta18545,<start> face off with &  <end>,"['<start>', 'face', 'off', 'with', '&', '<end>']","[2, 121, 122, 13, 25, 3]"
img/insta18546,<start> Yeezus walks  <end>,"['<start>', 'yeezus', 'walks', '<end>']","[2, 801, 1510, 3]"
img/insta18547,<start> 'tis the season   <end>,"['<start>', ""'t"", 'is', 'the', 'season', '<end>']","[2, 1, 18, 5, 274, 3]"
img/insta18549,<start> nom nom  <end>,"['<start>', 'nom', 'nom', '<end>']","[2, 1703, 1703, 3]"
img/insta18550,<start> smelly's girls party!   <end>,"['<start>', 'smelly', ""'s"", 'girls', 'party', '!', '<end>']","[2, 12713, 437, 103, 116, 133, 3]"
img/insta18553,<start> above the clouds  <end>,"['<start>', 'above', 'the', 'clouds', '<end>']","[2, 3251, 5, 866, 3]"
img/insta18554,<start> a picture does not do this place justice.  <end>,"['<start>', 'a', 'picture', 'does', 'not', 'do', 'this', 'place', 'justice', '.', '<end>']","[2, 8, 399, 457, 84, 65, 16, 300, 4547, 1, 3]"
img/insta18556,<start> happiest place on   <end>,"['<start>', 'happiest', 'place', 'on', '<end>']","[2, 1529, 300, 17, 3]"
img/insta18557,<start> thankful for you baby sis  <end>,"['<start>', 'thankful', 'for', 'you', 'baby', 'sis', '<end>']","[2, 505, 15, 7, 38, 392, 3]"
img/insta18558,<start> okay deeennnnn  <end>,"['<start>', 'okay', 'deeennnnn', '<end>']","[2, 1003, 8426, 3]"
img/insta18559,<start> taking pictures of me taking pictures. hi G!  <end>,"['<start>', 'taking', 'pictures', 'of', 'me', 'taking', 'pictures', '.', 'hi', 'g', '!', '<end>']","[2, 547, 1025, 19, 14, 547, 1025, 1, 102, 655, 133, 3]"
img/insta18560,<start> Rest Peacefully Mike Brown.  <end>,"['<start>', 'rest', 'peacefully', 'mike', 'brown', '.', '<end>']","[2, 637, 2896, 1675, 619, 1, 3]"
img/insta18561,<start> my cover of   <end>,"['<start>', 'my', 'cover', 'of', '<end>']","[2, 4, 111, 19, 3]"
img/insta18564,<start> babes  <end>,"['<start>', 'babes', '<end>']","[2, 587, 3]"
img/insta18565,<start> auntie Kenny carpooling the little monster  <end>,"['<start>', 'auntie', 'kenny', 'carpooling', 'the', 'little', 'monster', '<end>']","[2, 1455, 1079, 8427, 5, 44, 1390, 3]"
img/insta18566,<start> my dawgs  <end>,"['<start>', 'my', 'dawgs', '<end>']","[2, 4, 4549, 3]"
img/insta18567,<start> scary-go-round. Mason knows how to throw a good party   <end>,"['<start>', 'scary-go-round', '.', 'mason', 'knows', 'how', 'to', 'throw', 'a', 'good', 'party', '<end>']","[2, 8428, 1, 802, 745, 77, 9, 1504, 8, 33, 116, 3]"
img/insta18568,<start> hm  <end>,"['<start>', 'hm', '<end>']","[2, 8429, 3]"
img/insta18569,<start> this is exactly how I feel right now   <end>,"['<start>', 'this', 'is', 'exactly', 'how', 'i', 'feel', 'right', 'now', '<end>']","[2, 16, 18, 4018, 77, 6, 306, 119, 45, 3]"
img/insta18572,<start> sunniest sunset  <end>,"['<start>', 'sunniest', 'sunset', '<end>']","[2, 8430, 448, 3]"
img/insta18573,<start> repost   <end>,"['<start>', 'repost', '<end>']","[2, 230, 3]"
img/insta18575,<start> oh. good morning?  <end>,"['<start>', 'oh', '.', 'good', 'morning', '?', '<end>']","[2, 87, 1, 33, 55, 412, 3]"
img/insta18576,<start> diners and earmuffs  <end>,"['<start>', 'diners', 'and', 'earmuffs', '<end>']","[2, 8431, 12, 8432, 3]"
img/insta18578,<start> dad is so proud  <end>,"['<start>', 'dad', 'is', 'so', 'proud', '<end>']","[2, 234, 18, 24, 290, 3]"
img/insta18580,<start> last night was somethin'   <end>,"['<start>', 'last', 'night', 'was', 'somethin', ""'"", '<end>']","[2, 60, 26, 73, 10821, 5223, 3]"
img/insta18582,<start> me and skiiileton  <end>,"['<start>', 'me', 'and', 'skiiileton', '<end>']","[2, 14, 12, 8434, 3]"
